Review_ID,User_ID,Business_ID,Star_Rating,Review_Text
DVL43JVR1JG,ULI44IVS1VP,ZNO65CCW4TD,2,Curabitur dictum. Phasellus in felis. Nulla tempor augue ac ipsum. Phasellus vitae mauris sit amet lorem semper auctor. Mauris vel turpis. Aliquam adipiscing lobortis risus.
TIV11DJN8MZ,GKC18EHD8DE,GAI81BTJ6QV,4,"ullamcorper eu, euismod ac, fermentum vel, mauris."
BOL66JTC1DO,PSE27LCD5DD,MTV71RYU9RT,3,"sem ut dolor dapibus gravida. Aliquam tincidunt, nunc ac mattis ornare, lectus ante dictum mi, ac mattis velit justo nec ante. Maecenas mi felis, adipiscing fringilla, porttitor vulputate, posuere vulputate, lacus. Cras interdum. Nunc sollicitudin commodo"
XKU18KOY8SS,NWR18QQY6DW,NSI31NDI7MR,3,"Ut nec urna et arcu imperdiet ullamcorper. Duis at lacus. Quisque purus sapien, gravida non, sollicitudin a, malesuada id, erat. Etiam vestibulum massa rutrum magna. Cras convallis convallis dolor. Quisque tincidunt pede ac urna. Ut tincidunt vehicula risus. Nulla eget metus eu erat semper rutrum. Fusce dolor quam, elementum"
HHN36QAY8UF,WRW47WBW4IP,QTQ77ENH7PJ,3,"natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus. Aenean eget magna. Suspendisse"
XCR83HKA6OG,PCV77GXH7LW,LXY35OLY6EG,2,"Ut tincidunt orci quis lectus. Nullam suscipit, est ac facilisis"
ZTN50MHL8TM,RDL84VOQ7SY,NYR92WBV9OJ,4,"mauris, rhoncus id, mollis nec, cursus a, enim. Suspendisse aliquet, sem ut cursus luctus, ipsum leo elementum sem, vitae aliquam eros turpis non"
IJG58TNC1WO,YED45WJJ4HH,PSJ89QLN8ZG,2,"lorem lorem, luctus ut, pellentesque eget, dictum placerat, augue. Sed molestie. Sed id risus quis diam"
YQZ58ZEN4XS,UIJ26WVL8GT,WGQ55VYK8NS,5,"a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus mauris a nunc. In at pede. Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum porta"
POY71SSQ0BQ,EQM64PGT7FG,WCY76ENL2UX,4,"elit fermentum risus, at fringilla purus mauris a nunc. In at pede. Cras vulputate velit eu sem. Pellentesque ut ipsum ac mi eleifend egestas. Sed pharetra, felis eget varius ultrices, mauris ipsum porta elit, a feugiat tellus"
XCS44KMP2ZE,ERX44RWM3RK,BXQ21XPX4ZQ,2,arcu. Vivamus sit amet risus.
FKV46ILC5HA,KED84TPC1GE,YZI21JFA4CK,2,"erat vel pede blandit congue. In scelerisque scelerisque dui. Suspendisse ac metus vitae velit egestas lacinia. Sed congue, elit sed consequat auctor, nunc nulla vulputate dui, nec tempus"
CTH30ONY5RO,KRP81JRA5EH,JMD85UUI7EX,3,"a, facilisis non, bibendum sed, est. Nunc laoreet"
ZLL75VFD6MD,SLR87QYB6WJ,WFI35VRS5OW,4,"gravida nunc sed pede. Cum sociis natoque penatibus et magnis dis parturient montes, nascetur"
WWW79XZY5VP,NAI97KUM6XG,KWO57GRL8RB,1,"mollis dui, in sodales elit erat vitae risus. Duis a mi fringilla mi lacinia mattis. Integer eu lacus. Quisque imperdiet, erat nonummy ultricies ornare, elit elit fermentum risus, at fringilla purus"
QGJ05OYA2MD,SFQ64JPB5UW,CBA60GEO7DG,4,arcu et pede. Nunc sed
MBT41WBE6AN,ODX47IFF6HR,CCE47DXR7DE,2,"elementum, lorem ut aliquam iaculis, lacus pede sagittis augue, eu tempor erat neque non"
KZX58SEG7FU,DCX31VRM5BM,KXO36YQC8SO,2,"nisi. Mauris nulla. Integer urna. Vivamus molestie dapibus ligula. Aliquam erat volutpat. Nulla dignissim. Maecenas ornare egestas ligula. Nullam feugiat placerat velit. Quisque varius. Nam porttitor scelerisque neque. Nullam nisl. Maecenas malesuada fringilla est. Mauris eu turpis. Nulla aliquet. Proin velit. Sed malesuada augue ut lacus. Nulla tincidunt, neque"
LED05VSE0IO,NGD49PBC9MF,MCE12XCM0AT,1,"convallis in, cursus et, eros. Proin ultrices."
FGL37KJS8CL,CQJ73HRE0UR,VTU66REM1CW,2,consectetuer euismod est arcu ac orci. Ut semper pretium neque.
VBS50MSH5OO,VVM63KTO7XN,YBT44YMM2XZ,2,"ut, nulla. Cras eu tellus eu augue porttitor interdum. Sed auctor odio"
QBB11HAM1ET,CSS84LMF4EB,WWF28RXT9KN,4,"lobortis ultrices. Vivamus rhoncus. Donec est. Nunc ullamcorper, velit in aliquet lobortis, nisi nibh lacinia orci, consectetuer euismod est arcu ac orci. Ut semper pretium neque. Morbi quis urna. Nunc quis arcu vel"
LUT37YON0DB,CSB29RSZ5IU,XJF24MWI3WS,4,ac sem ut dolor dapibus gravida.
COW68LKI6KI,JKN47TGK1NG,BVH27AJA1CU,3,"habitant morbi tristique senectus et netus et malesuada fames ac turpis egestas. Aliquam fringilla cursus purus. Nullam scelerisque neque sed sem egestas blandit. Nam nulla magna, malesuada vel, convallis in, cursus et, eros. Proin ultrices. Duis"
