User_ID,User_Name,Review_Count,Yelping_Since,Average_Stars
ULI44IVS1VP,Evangeline,119,7/20/10,4.5
GKC18EHD8DE,Giselle,257,9/15/10,0.5
PSE27LCD5DD,Madeline,80,8/27/22,0.5
NWR18QQY6DW,Sage,151,9/20/13,2.5
WRW47WBW4IP,Moana,131,9/14/13,3.5
PCV77GXH7LW,Katell,148,6/15/22,3.5
RDL84VOQ7SY,Ainsley,280,1/6/22,1.5
YED45WJJ4HH,Kameko,206,7/6/22,0.5
UIJ26WVL8GT,Hamish,147,11/21/17,2.5
EQM64PGT7FG,Oleg,183,5/25/12,2.5
ERX44RWM3RK,Edward,216,1/10/19,0.5
KED84TPC1GE,Amity,83,3/13/13,1.5
KRP81JRA5EH,Colin,181,3/17/12,1.5
SLR87QYB6WJ,Marshall,290,11/6/16,1.5
NAI97KUM6XG,Minerva,123,8/29/14,4.5
SFQ64JPB5UW,Wesley,285,10/3/13,3.5
ODX47IFF6HR,Knox,177,1/3/18,4.5
DCX31VRM5BM,Basil,189,12/25/22,2.5
NGD49PBC9MF,Lani,149,10/21/19,2.5
CQJ73HRE0UR,Jesse,29,6/17/14,4.5
VVM63KTO7XN,Fiona,37,7/5/12,2.5
CSS84LMF4EB,Mohammad,261,7/11/13,3.5
CSB29RSZ5IU,Joelle,97,10/1/17,4.5
JKN47TGK1NG,Hilary,196,5/30/13,3.5
UPP56ONB4XE,Alec,225,1/10/12,0.5
XPA18QNI2XK,Vance,224,8/18/11,2.5
ANJ98ILS9QR,Lee,167,3/7/16,1.5
DMN54PKJ4BR,Zeus,299,1/24/23,1.5
KLR88GUH2YE,Nina,35,12/23/15,0.5
WYM43MGF3OH,Timothy,19,12/18/13,2.5
EDC22OMX1AP,MacKensie,177,8/17/11,1.5
CQK37UJZ0PX,Timothy,199,7/28/11,2.5
VER76YDD3UL,Paki,169,8/24/14,0.5
VXN58SXS9ZK,Jesse,34,8/30/14,2.5
LRH86EQP2XA,Wade,22,12/6/10,3.5
NRL68NRA2TF,Patricia,131,1/15/21,3.5
CWF00LCM6GP,Aidan,192,3/18/12,2.5
NCD87POL8GV,Keiko,196,6/27/11,2.5
FEB43GNG8QW,Conan,277,4/27/17,0.5
MHX24ZHG2LK,Gabriel,102,12/21/12,4.5
YRB24RMN5HS,Donna,289,12/28/20,3.5
YEY77MNR1XT,Otto,43,12/27/22,1.5
ZEI43TOO2OK,Hayley,56,4/21/19,4.5
GBO30LFZ6ML,Adena,280,2/10/18,2.5
EYS36RLG7IM,Heidi,260,1/19/17,1.5
QPS35AOG4EQ,Acton,65,9/1/18,2.5
MDP79SEQ1XZ,Quamar,249,3/11/12,3.5
QPU31WDN8OL,Illana,204,9/20/17,1.5
KLY82TDF7UR,Tucker,53,7/10/12,0.5
