Population,Postal_Code
41520,602
54689,603
24597,617
7853,622
43061,623
26241,624
35159,627
25287,637
18941,638
31191,641
38199,646
14998,650
4715,652
13307,653
21481,656
16784,664
25968,667
9807,670
44457,674
40316,676
27819,678
58140,680
32615,682
33772,683
42831,685
32610,687
6255,690
37511,692
328,694
41782,698
28605,703
8577,704
25598,705
12225,707
19566,714
3656,715
18457,717
30990,719
23129,720
19277,723
89374,725
58382,727
53750,729
15524,731
51532,736
34922,738
39678,739
55062,745
23129,751
23263,757
9098,765
38394,771
40684,777
45429,778
36557,783
357,786
30585,794
7080,901
8623,911
6801,912
9312,913
32820,915
18056,918
37763,921
29086,923
56691,924
8696,925
108862,926
14936,927
288,934
82278,949
9,950
35,951
10008,952
79304,956
45680,957
1779,960
32429,961
22491,962
16676,966
42219,969
30986,971
65136,976
17030,979
16428,982
39234,983
36553,985
63661,987
10372,1003
14649,1007
741,1009
3609,1010
1370,1011
661,1012
29668,1020
17660,1027
15720,1028
789,1029
11669,1030
1308,1031
570,1032
2021,1034
5109,1036
838,1037
2545,1038
1336,1039
39880,1040
1685,1053
1851,1054
8534,1057
15284,1060
11150,1062
430,1063
64,1066
1902,1068
629,1070
1596,1071
1478,1072
319,1074
17527,1075
692,1079
2334,1080
10322,1082
2888,1083
176,1084
670,1088
28391,1089
325,1093
351,1094
14319,1095
2217,1096
1101,1098
2479,1103
12350,1105
16021,1106
26688,1108
30250,1109
14071,1118
14152,1119
2631,1128
7019,1129
0,1199
46504,1201
829,1222
2314,1223
3117,1225
95,1229
8430,1230
2496,1237
4534,1240
476,1242
151,1244
731,1253
972,1254
692,1256
374,1258
635,1259
1238,1262
137,1264
1463,1266
7989,1267
17700,1301
1506,1330
13263,1331
2596,1337
187,1338
1438,1339
1833,1341
1492,1342
75,1343
121,1350
2270,1351
1500,1354
878,1355
3032,1360
1277,1366
1261,1368
4600,1373
5247,1376
774,1378
813,1379
6089,1430
3074,1431
7089,1432
1795,1434
3336,1436
559,1438
10646,1450
10086,1462
11497,1463
316,1467
4021,1468
7277,1473
2866,1503
9026,1504
4355,1505
3390,1506
12981,1507
13606,1510
2183,1515
13997,1520
3310,1522
13246,1527
14155,1532
5631,1534
6888,1536
2248,1537
3413,1541
2202,1542
35299,1545
7808,1564
16767,1570
11390,1571
18272,1581
7591,1583
4554,1585
8875,1590
34677,1604
19077,1606
3888,1608
2242,1611
31217,1701
469,1718
21361,1720
16593,1721
13221,1730
1396,1731
4897,1740
4852,1741
17726,1742
397,1745
13547,1746
5911,1747
14925,1748
38499,1752
10106,1754
5839,1756
28061,1757
