postal_code,restaurant_id,restaurants_name,address,city,states,latitude,longitude,stars_rating,review_count,restaurants_delivery,outdoor_seating,accepts_creditcards,price_range,alcohol,good_for_kids,reservations,restaurants_takeout,wifi,good_for_groups,wheelchair_accessible,happy_hour,noise_level,dietary_restrictions,total_estimate_households_per_zip,total_estimate_married_couple_family_households,total_estimate_nonfamily_households,median_income_dollars
83709,oCVcvXmtVJKAH8vpFCoVyg,#1 Mongolian BBQ - Best Stir Fried Noodles In Boise,"8249 W Overland Rd, Ste 180",Boise,ID,43.589722,-116.285309,3.5,51,f,f,t,2,t,t,t,t,t,t,f,f,4,f,21787,12577,6435,74941
19104,k_43W3zbbEuvYuLZviSJKA,&pizza - UPenn,3925 Walnut St,Philadelphia,PA,39.954236,-75.201192,4,61,t,f,t,2,t,t,f,t,f,t,t,f,4,f,16508,2296,10575,28603
19102,wuH4TPUo8oJo4E59xZKsNg,&pizza - Walnut,430 Walnut St,Philadelphia,PA,39.949207,-75.165920,4.5,364,t,t,t,2,t,t,f,t,t,t,t,f,4,f,3365,765,2525,110096
19428,VZFQS0SXzXPuxISbAgIVBA,'feine,812 Fayette St,Conshohocken,PA,40.080194,-75.300277,4.5,166,t,t,t,1,t,t,f,t,t,t,f,f,1,f,8479,3332,4239,98031
37212,UBCOE-7SXWrg2kPLSuF4YQ,'za,2005 Belcourt Ave,Nashville,TN,36.136669,-86.800017,4,83,t,t,t,1,t,f,f,t,t,f,t,f,4,f,7149,2539,4043,71699
33607,_dyh3uCE6E4TimbtFiB-ag,10 & 10 Enoteca,"2223 N Westshore Blvd, Unit B217",Tampa,FL,27.965463,-82.520910,5,32,f,f,f,1,f,f,f,f,t,f,t,t,1,f,10932,2867,5698,46587
19102,BAf7Wu2Xo8HioALaBLRIwA,10 Arts Bistro,"The Ritz-Carlton Philadelphia, Ten Avenue of the Arts",Philadelphia,PA,39.951050,-75.164276,3.5,170,f,f,t,3,t,f,t,f,t,t,f,t,1,f,3365,765,2525,110096
46220,lmXhXyGh_bLzY2eqgmCrJA,10-01 Food & Drink,1001 Broad Ripple Ave,Indianapolis,IN,39.869548,-86.141411,3.5,175,f,t,t,2,t,f,t,t,t,t,f,f,4,f,16879,6824,8390,77377
33543,RC6M67O4ezJH5xP55TQMzA,100 Montaditos,"2000 Piazza Ave, Ste 150",Wesley Chapel,FL,28.187795,-82.348657,4,39,f,t,t,1,t,t,f,t,t,t,f,f,2,f,9822,5932,2307,84375
34609,1rz9dGzG0K-omeL92KL0wA,1000 Degrees Neapolitan Pizzeria,11194 Spring Hill Dr,Spring Hill,FL,28.461195,-82.538136,4,76,t,f,t,1,f,t,f,t,f,t,f,f,1,f,16170,9300,4327,57924
8053,M8GwSOatMl00415mt_alAQ,1000 Degrees Neapolitan Pizzeria,752 W Rt 70,Marlton,NJ,39.895623,-74.938812,3,34,f,f,t,2,t,t,f,t,t,t,t,f,4,f,18109,10081,6155,99454
19808,SWrUyOkijbZPp6If7UMzjw,1000 Degrees Pizza,4526 New Linden Hill Rd,Wilmington,DE,39.739307,-75.688887,3,32,f,f,t,2,f,f,f,f,f,f,f,f,1,f,14680,7449,4913,82113
70119,cTSczU-9-cYUEM2DlNJcQw,1000 Figs,3141 Ponce De Leon St,New Orleans,LA,29.980504,-90.084274,4.5,311,t,f,t,2,t,f,f,t,f,f,f,t,4,f,16549,3305,9981,40769
46037,GXjN3c0swlIfH5kbVxATFQ,101 Beer Kitchen,"9708 District North Dr, Ste 910",Fishers,IN,39.955238,-86.001094,4.5,214,t,t,t,2,t,t,t,t,t,t,t,t,4,f,14661,10039,3087,115018
89503,mcr1lAEdvGLMJhuPwI3I2A,101 Taiwanese Cuisine,"400 W 5th St, Ste 104",Reno,NV,39.529867,-119.820173,4,1145,t,f,t,2,t,t,t,t,t,t,t,f,4,f,12469,4209,6739,54063
19063,g0HgHBxwJBeVffqqpQmLuw,1010 Pizza & Grill,1010 W Baltimore Pike,Media,PA,39.914572,-75.425573,4,73,t,f,t,1,f,t,f,t,t,t,f,f,1,f,14697,7779,5546,102401
46201,plYv1QpBDnLJ8cOtvZvmfA,10th Street Diner,3301 E 10th St,Indianapolis,IN,39.781107,-86.109629,4.5,127,t,t,t,2,t,f,f,t,t,t,t,f,4,f,13112,3112,7624,31651
33701,UfWjaifeYmyldKxlEYI9cg,11 Chicks,199 Dr Mlk Jr St N,Saint Petersburg,FL,27.773275,-82.646465,4.5,214,t,t,t,1,t,t,f,t,t,f,f,f,4,f,9120,2230,6371,46786
19148,x4855nj7vfdXeVpg5fREZA,1100 Social,1100 Pattison Ave,Philadelphia,PA,39.904169,-75.169129,3,42,f,t,t,2,t,f,t,t,f,t,f,t,4,f,19493,7020,7959,60226
93101,2l-spLLGUzRiZg8dF623Nw,1114 Sports Bar & Games,1114 State St,Santa Barbara,CA,34.422822,-119.703402,4,144,f,t,t,2,t,t,t,t,t,t,t,t,4,f,13296,4177,6819,62925
19087,0NZkEpA4VeOy7b56KYGx_Q,118 North,118 N Wayne Ave,Wayne,PA,40.044899,-75.388148,3.5,43,t,f,t,1,t,t,t,t,t,f,t,t,1,f,11749,7202,3478,144022
37203,HxU-aiv_9aqwiqYdXeEj1g,12 South Bistro,2213 Elliston Pl,Nashville,TN,36.151372,-86.804044,2.5,30,t,t,t,2,t,f,t,t,t,t,f,f,4,f,10201,1230,8276,58032
37204,KquItUiyLRxiasJ3P_xGMQ,12 South Taproom & Grill,2318 12th Ave S,Nashville,TN,36.126469,-86.788879,3.5,347,t,t,t,2,t,t,f,t,t,t,t,t,4,f,6080,2403,3122,89954
46204,H-cNdJ7CGHHu0iZZ729NKg,120 West Bar & Grill,120 W Market St,Indianapolis,IN,39.768915,-86.160511,3.5,40,f,f,t,2,t,t,t,t,t,t,f,t,2,f,4582,498,3999,73281
33706,v72HalBu5fQIFTD-oqhSgQ,1200 Chophouse,5007 Gulf Blvd,St. Petersburg,FL,27.724941,-82.740789,4.5,455,t,t,t,3,t,f,f,t,f,f,f,f,4,f,8805,4478,3944,76277
