Restaurant_ID,Restaurants_Name,Address,City,State,Postal_Code,Latitude,Longitude,Stars_Rating,Review_Count,Restaurants_Delivery,Outdoor_Seating,Accepts_CreditCards,Price_Range,Alcohol,Good_For_Kids,Reservations,Restaurants_TakeOut,WiFi,Good_For_Groups,Wheelchair_Accessible,Happy_Hour,Noise_Level,Dietary_Restrictions,Total_Estimate_Households_per_Zip,Total_Estimate_Married-couple_Family_households,Total_Estimate_Nonfamily_households,Median_Income(dollars),Mean_Income(dollars),Population
MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107,39.9555052,-75.1555641,4.0,80,0,0,0,1,1,0,0,1,1,0,0,0,1,0,7823,1743,5771,60676,91522,14875
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4.0,245,1,1,1,2,1,0,1,1,1,1,1,1,4,0,7625,2113,5180,116368,162885,11740
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147,39.943223,-75.162568,4.5,205,1,1,1,1,1,1,0,1,0,0,0,0,1,0,18239,6207,10326,86147,128426,36228
9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,5505 S Virginia St,Reno,NV,89502,39.4761165,-119.7893392,2.5,339,1,1,1,2,1,1,1,1,1,1,0,1,4,0,18616,6344,8448,48782,65655,43566
QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.9398245705,-75.1574465632,4.0,65,1,0,1,2,1,0,0,1,1,1,0,1,4,0,18239,6207,10326,86147,128426,36228
Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,3.0,41,1,1,1,1,1,1,0,1,1,1,0,0,2,0,2678,639,1962,74936,104604,5913
kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003,40.0067071,-75.289671,3.5,109,1,0,1,1,1,1,0,1,0,1,0,0,4,0,5665,2805,2250,105061,135760,12519
aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,3.5,65,1,1,1,2,0,1,0,1,0,0,0,1,1,0,8565,2020,5678,77111,106137,13416
ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862032987,3.0,94,0,1,1,2,1,1,1,1,1,1,1,1,4,0,13430,4893,5675,48720,65294,32704
Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,LA,70058,29.8754822266,-90.04938,2.5,38,0,0,1,2,1,1,1,1,1,1,0,0,1,0,13844,5653,4888,49551,72216,39887
seKihQKpGGnCeLuELRQPSQ,Twin Peaks,6880 E 82nd St,Indianapolis,IN,46250,39.9062952,-86.0474634,3.5,257,0,1,1,2,1,1,0,1,1,1,0,1,2,0,9034,2918,5049,57053,80231,18546
qfWJmJ0g96eM_fWma3ja0g,Doc Magrogan's Oyster House - West Chester,117 E Gay St,West Chester,PA,19380,39.9615417,-75.6036042,3.0,114,0,1,1,2,1,1,1,1,0,1,0,1,4,0,20999,11647,7482,106738,136205,49534
ppFCk9aQkM338Rgwpl2F5A,Wawa,3604 Chestnut St,Philadelphia,PA,19104,39.954573,-75.1948936,3.0,56,1,0,1,1,1,1,0,1,1,1,0,0,4,0,16508,2296,10575,28603,46430,51808
IDtLPgUrqorrpqSLdfMhZQ,Helena Avenue Bakery,"131 Anacapa St, Ste C",Santa Barbara,CA,93101,34.4144445,-119.6906718,4.0,389,1,1,1,2,1,1,0,1,0,1,1,0,4,0,13296,4177,6819,62925,91126,31683
3BJxm-HnvzdwD1zjmSbmyQ,Golden Chopstick Chinese Restaurant,1800 Spring Garden St,Philadelphia,PA,19130,39.963077709,-75.1680274529,3.0,137,1,0,1,1,1,1,1,1,1,1,1,0,4,0,14431,4157,9196,88858,121662,24870
SZU9c8V2GuREDN5KgyHFJw,Santa Barbara Shellfish Company,230 Stearns Wharf,Santa Barbara,CA,93101,34.4087147,-119.6850187,4.0,2404,1,1,1,2,1,1,0,1,0,0,0,0,4,0,13296,4177,6819,62925,91126,31683
WYYdQDjx-DsCanlP0DpImQ,J Sushi,243 S 10th St,Philadelphia,PA,19107,39.9470334,-75.1574339,4.5,72,1,0,1,2,1,1,1,1,1,1,1,0,4,0,7823,1743,5771,60676,91522,14875
G4lRmwDHdvhZAhmtlsYYBw,Wendy's,741 Thompson Ln,Nashville,TN,37204,36.112075744,-86.7674462724,1.5,37,1,0,1,1,1,1,0,1,0,1,0,0,1,0,6080,2403,3122,89954,148770,12031
BxhkoR6cscJwwex8gx31OA,Bar-B-Cutie,1787 Gallatin Pike N,Madison,TN,37115,36.296536,-86.700179,3.5,40,1,0,1,2,1,1,0,1,0,1,0,0,2,0,17024,4935,8154,46777,59429,37316
pmuuoDqNZp7518AUd-YmPA,Bagelicious - King Of Prussia,216 W Beidler Rd,King of Prussia,PA,19406,40.1124813,-75.3799748,3.5,60,0,0,1,1,0,0,0,1,0,0,0,0,1,0,11438,5682,4700,97305,114751,23441
Dtuf4vD0znzwJW9vk3iTNw,Tomo Japanese Steakhouse and Sushi Bar,"7411 N Keystone Ave, Ste A",Indianapolis,IN,46240,39.8887246,-86.1212129,4.0,246,1,0,1,2,1,1,1,1,1,1,0,0,4,0,10165,3497,6021,56744,97368,18731
