,Postal_Code,Population
0,602,108502
1,603,117092
2,606,10579
3,610,34457
4,612,67536
5,616,17856
6,617,67305
7,622,13479
8,623,112168
9,624,73020
10,627,90031
11,631,2103
12,637,67016
13,638,40337
14,641,54112
15,646,80856
16,647,4012
17,650,39112
18,652,12024
19,653,28699
20,656,58378
21,659,72290
22,660,20995
23,662,53697
24,664,27943
25,667,44733
26,669,33535
27,670,21438
28,674,93837
29,676,102835
30,677,17320
31,678,74333
32,680,125646
33,682,85940
34,683,89528
35,685,111360
36,687,87958
37,688,15695
38,690,16979
39,692,79496
40,693,76693
41,694,656
42,698,104073
43,703,74548
44,704,19897
45,705,52088
46,707,25949
47,714,44488
48,715,9792
49,716,55331
50,717,43424
51,718,43637
52,719,68326
53,720,37016
54,723,50021
55,725,239459
56,727,151087
57,728,72424
58,729,146843
59,730,56433
60,731,32726
61,735,24650
62,736,112011
63,738,93320
64,739,104276
65,740,1225
66,741,5509
67,745,109805
68,751,63568
69,754,43513
70,757,50951
71,765,24450
72,766,43179
73,767,59974
74,769,22668
75,771,99972
76,772,25965
77,773,31685
78,775,1995
79,777,112317
80,778,96903
81,780,15491
82,782,33994
83,783,98312
84,784,75280
85,786,581
86,791,56535
87,794,81893
88,795,79884
89,901,14957
90,906,8
91,907,19620
92,909,7438
93,911,18440
94,912,18424
95,913,18810
96,915,56379
97,917,36593
98,918,38878
99,920,29411
100,921,100954
101,923,46020
102,924,145450
103,925,23810
104,926,275640
105,927,30402
106,934,803
107,936,990
108,949,208685
109,950,16
110,951,73
111,952,22376
112,953,86534
113,956,174096
114,957,95622
115,959,76314
116,960,4790
117,961,51644
118,962,49765
119,965,11595
120,966,45143
121,968,5958
122,969,113879
123,971,65533
124,976,139316
125,979,36290
126,982,37278
127,983,103220
128,985,75213
129,987,98042
130,1001,20545
131,1002,33219
132,1003,23661
133,1005,8151
134,1007,30796
135,1008,1028
136,1009,1977
137,1010,6093
138,1011,3571
139,1012,1717
140,1013,24405
141,1020,80009
142,1022,4147
143,1026,1642
144,1027,36853
145,1028,41228
146,1029,1336
147,1030,30695
148,1031,2943
149,1032,1474
150,1033,6593
151,1034,3464
152,1035,8648
