,Restaurant_ID,Restaurants_Name,Address,City,State,Postal_Code,Latitude,Longitude,Stars_Rating,Review_Count,Restaurants_Delivery,Outdoor_Seating,Accepts_CreditCards,Price_Range,Alcohol,Good_For_Kids,Reservations,Restaurants_TakeOut,WiFi,Good_For_Groups,Wheelchair_Accessible,Happy_Hour,Noise_Level,Dietary_Restrictions,Total_Estimate_Households_per_Zip,Total_Estimate_Married-couple_Family_households,Total_Estimate_Nonfamily_households,Median_Income(dollars),Mean_Income(dollars),Population
0,MTSW4McQd7CbVtyjqoe9mw,St Honore Pastries,935 Race St,Philadelphia,PA,19107,39.9555052,-75.1555641,4.0,80,0,0,0,1,1,0,0,1,1,0,0,0,1,0,7823,1743,5771,60676,91522,14875
2,MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4.0,245,1,1,1,2,1,0,1,1,1,1,1,1,4,0,7625,2113,5180,116368,162885,11740
3,ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147,39.943223,-75.162568,4.5,205,1,1,1,1,1,1,0,1,0,0,0,0,1,0,18239,6207,10326,86147,128426,36228
4,9OG5YkX1g2GReZM0AskizA,Romano's Macaroni Grill,5505 S Virginia St,Reno,NV,89502,39.4761165,-119.7893392,2.5,339,1,1,1,2,1,1,1,1,1,1,0,1,4,0,18616,6344,8448,48782,65655,43566
6,QdN72BWoyFypdGJhhI5r7g,Bar One,767 S 9th St,Philadelphia,PA,19147,39.93982457,-75.15744656,4.0,65,1,0,1,2,1,0,0,1,1,1,0,1,4,0,18239,6207,10326,86147,128426,36228
7,Mjboz24M9NlBeiOJKLEd_Q,DeSandro on Main,4105 Main St,Philadelphia,PA,19127,40.0224662,-75.218314,3.0,41,1,1,1,1,1,1,0,1,1,1,0,0,2,0,2678,639,1962,74936,104604,5913
8,kV_Q1oqis8Qli8dUoGpTyQ,Ardmore Pizza,10 Rittenhouse Pl,Ardmore,PA,19003,40.0067071,-75.289671,3.5,109,1,0,1,1,1,1,0,1,0,1,0,0,4,0,5665,2805,2250,105061,135760,12519
9,aPNXGTDkf-4bjhyMBQxqpQ,Craft Hall,901 N Delaware Ave,Philadelphia,PA,19123,39.9625821,-75.1356571,3.5,65,1,1,1,2,0,1,0,1,0,0,0,1,1,0,8565,2020,5678,77111,106137,13416
10,ljxNT9p0y7YMPx0fcNBGig,Tony's Restaurant & 3rd Street Cafe,312 Piasa St,Alton,IL,62002,38.896563,-90.1862033,3.0,94,0,1,1,2,1,1,1,1,1,1,1,1,4,0,13430,4893,5675,48720,65294,32704
13,Si6LXSR9gvAbmgO5DzV2cw,Lafitte's Landing Seafood House,1700 Lapalco Blvd,Harvey,LA,70058,29.87548223,-90.04938,2.5,38,0,0,1,2,1,1,1,1,1,1,0,0,1,0,13844,5653,4888,49551,72216,39887
